,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,Implied volatility,currentDate,Underlaying asset price,Expiration Date
49,19-May-17,15.0,EGHT,Call,0.88,-0.22,1.0,1.3,10.0,580.0,0.55812,0.16577999999999998,0.01822,-0.00775,0.02876,0.46331999999999995,2/17/2017,15.0,0.249144422
50,19-May-17,15.0,EGHT,Call,0.88,-0.22,1.0,1.3,10.0,580.0,0.55812,0.16577999999999998,0.01822,-0.00775,0.02876,0.46331999999999995,2/17/2017,15.0,0.249144422
51,19-May-17,15.0,EGHT,Call,0.88,-0.22,1.0,1.3,10.0,580.0,0.46493999999999996,0.11982000000000001,0.01366,-0.00924,0.02816,0.46331999999999995,2/17/2017,15.0,0.249144422
52,19-May-17,15.0,EGHT,Call,0.88,-0.22,1.0,1.3,10.0,580.0,0.46493999999999996,0.11982000000000001,0.01366,-0.00924,0.02816,0.46331999999999995,2/17/2017,15.0,0.249144422
53,19-May-17,15.0,EGHT,Put,1.35,0.05,1.0,1.3,1.0,39.0,-0.45115,0.14964,-0.014230000000000001,-0.00659,0.0288,0.31626,2/17/2017,15.0,0.249144422
54,19-May-17,15.0,EGHT,Put,1.35,0.05,1.0,1.3,1.0,39.0,-0.45115,0.14964,-0.014230000000000001,-0.00659,0.0288,0.31626,2/17/2017,15.0,0.249144422
55,19-May-17,15.0,EGHT,Put,1.35,0.05,1.0,1.3,1.0,39.0,-0.61736,0.19022999999999998,-0.01704,-0.00414,0.028210000000000002,0.31626,2/17/2017,15.0,0.249144422
56,19-May-17,15.0,EGHT,Put,1.35,0.05,1.0,1.3,1.0,39.0,-0.61736,0.19022999999999998,-0.01704,-0.00414,0.028210000000000002,0.31626,2/17/2017,15.0,0.249144422
57,17-Mar-17,50.0,ABAX,Call,1.3,-1.0,0.95,1.7,16.0,114.0,0.49715,0.13305,0.018080000000000002,-0.02975,0.053770000000000005,0.28472,2/17/2017,49.66,0.076659822
58,17-Mar-17,50.0,ABAX,Call,1.3,-1.0,0.95,1.7,16.0,114.0,0.49715,0.13305,0.018080000000000002,-0.02975,0.053770000000000005,0.28472,2/17/2017,49.66,0.076659822
59,17-Mar-17,50.0,ABAX,Call,1.3,-1.0,0.95,1.7,16.0,114.0,0.73173,0.1689,0.027510000000000003,-0.01913,0.051629999999999995,0.28472,2/17/2017,49.66,0.076659822
60,17-Mar-17,50.0,ABAX,Call,1.3,-1.0,0.95,1.7,16.0,114.0,0.73173,0.1689,0.027510000000000003,-0.01913,0.051629999999999995,0.28472,2/17/2017,49.66,0.076659822
61,17-Mar-17,105.0,ABMD,Call,10.8,1.1,10.8,12.9,1.0,18.0,1.0,0.0,0.0801,-0.01602,0.0,0.1325,2/17/2017,116.57,0.076659822
62,17-Mar-17,105.0,ABMD,Call,10.8,1.1,10.8,12.9,1.0,18.0,1.0,0.0,0.0801,-0.01602,0.0,0.1325,2/17/2017,116.57,0.076659822
63,17-Mar-17,105.0,ABMD,Call,10.8,1.1,10.8,12.9,1.0,18.0,0.9999,7e-05,0.08007,-0.016040000000000002,0.0006900000000000001,0.1325,2/17/2017,116.57,0.076659822
64,17-Mar-17,105.0,ABMD,Call,10.8,1.1,10.8,12.9,1.0,18.0,0.9999,7e-05,0.08007,-0.016040000000000002,0.0006900000000000001,0.1325,2/17/2017,116.57,0.076659822
65,17-Mar-17,110.0,ABMD,Call,8.2,4.87,7.5,8.3,108.0,216.0,0.79972,0.03255,0.06534,-0.06571,0.07812000000000001,0.177,2/17/2017,116.57,0.076659822
66,17-Mar-17,110.0,ABMD,Call,8.2,4.87,7.5,8.3,108.0,216.0,0.79972,0.03255,0.06534,-0.06571,0.07812000000000001,0.177,2/17/2017,116.57,0.076659822
67,17-Mar-17,110.0,ABMD,Call,8.2,4.87,7.5,8.5,108.0,216.0,0.9546399999999999,0.01895,0.0798,-0.02559,0.030489999999999996,0.177,2/17/2017,116.57,0.076659822
68,17-Mar-17,110.0,ABMD,Call,8.2,4.87,7.5,8.5,108.0,216.0,0.9546399999999999,0.01895,0.0798,-0.02559,0.030489999999999996,0.177,2/17/2017,116.57,0.076659822
69,17-Mar-17,115.0,ABMD,Call,4.0,0.7,4.2,5.0,10.0,764.0,0.60036,0.0443,0.05013,-0.08169,0.12317,0.21863000000000002,2/17/2017,116.57,0.076659822
