,Unnamed:_0,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open_Int,Delta,Gamma,Rho,Theta,Vega,Implied_volatility,currentDate,Underlaying_asset_price,Expiration_Date,compute_iv
625,5510,24-Mar-17,129.0,FB,Put,1.24,-0.1,1.2,1.24,4.0,168.0,-0.25459,0.04279,-0.0278,-0.03791,0.15034,0.1886,2/17/2017,133.529999,0.095824778,0.19105447576592563
626,5531,16-Jun-17,140.0,FB,Call,4.4,-0.14,4.35,4.5,624.0,20754.0,0.43407,0.02174,0.17140999999999998,-0.04258,0.31031,0.21238,2/17/2017,133.529999,0.325804244,0.2145645278609422
627,5534,16-Jun-17,130.0,FB,Put,5.38,0.18,5.25,5.35,191.0,9551.0,-0.37206,0.02156,-0.14375,-0.02769,0.28272,0.24997,2/17/2017,133.529999,0.325804244,0.25261139909239616
628,5543,15-Sep-17,130.0,FB,Put,7.91,0.16,7.8,7.9,8.0,3295.0,-0.37686,0.01585,-0.25713,-0.02128,0.37365,0.26592,2/17/2017,133.529999,0.574948665,0.2671203867884418
629,5551,15-Dec-17,130.0,FB,Put,10.2,0.05,10.0,10.15,86.0,793.0,-0.37014,0.014469999999999997,-0.33504,-0.0153,0.44084,0.28086,2/17/2017,133.529999,0.8240930870000001,0.2826028684285396
630,5555,19-Jan-18,135.0,FB,Call,13.19,-0.21,13.05,13.3,68.0,12133.0,0.60551,0.01617,0.63775,-0.0276,0.48066,0.23375,2/17/2017,133.529999,0.919917864,0.23844047714024097
631,5556,19-Jan-18,140.0,FB,Call,10.85,-0.1,10.7,10.95,243.0,11015.0,0.53256,0.0152,0.56134,-0.02736,0.5102899999999999,0.23697,2/17/2017,133.529999,0.919917864,0.23563940205926462
632,5558,19-Jan-18,125.0,FB,Put,8.84,0.14,8.7,8.85,108.0,7767.0,-0.30826,0.01167,-0.34214,-0.01405,0.44447,0.28663,2/17/2017,133.529999,0.919917864,0.28804805442647924
633,5597,17-Mar-17,28.0,FITB,Call,0.45,-0.07,0.45,0.49,44.0,409.0,0.36083,0.16869,0.00703,-0.01878,0.03,0.20518000000000006,2/17/2017,27.540001,0.076659822,0.2050374432285419
634,5601,19-May-17,29.0,FITB,Call,0.68,0.04,0.65,0.73,2.0,550.0,0.32859,0.11449,0.02056,-0.00902,0.05673,0.21739,2/17/2017,27.540001,0.249144422,0.21428260033087926
635,5614,17-Mar-17,35.0,FNSR,Call,1.82,-0.43,1.7,1.9,366.0,1605.0,0.4517600000000001,0.07263,0.01026,-0.04737,0.03685,0.6261,2/17/2017,33.75,0.076659822,0.6227910010261578
636,5617,17-Mar-17,31.0,FNSR,Put,1.1,0.25,1.0,1.25,124.0,349.0,-0.29049,0.05567,-0.0072,-0.04288,0.03417,0.63,2/17/2017,33.75,0.076659822,0.6262418604834998
637,5635,19-Jan-18,32.0,FNSR,Call,7.17,-1.33,6.6,7.4,45.0,90.0,0.66877,0.02833,0.14515,-0.0108,0.11471,0.46717,2/17/2017,33.75,0.919917864,0.46861180720466256
638,5637,19-Jan-18,37.0,FNSR,Call,4.4,-1.3,4.5,4.8,101.0,116.0,0.52904,0.031010000000000006,0.12174,-0.01088,0.12877,0.40801,2/17/2017,33.75,0.919917864,0.41110018956791333
639,5638,19-Jan-18,32.0,FNSR,Put,5.0,-0.18,4.6,5.2,18.0,45.0,-0.34191,0.023,-0.11807,-0.00914,0.11509,0.50884,2/17/2017,33.75,0.919917864,0.5065515894660512
640,5653,10-Mar-17,12.0,FEYE,Call,0.39,-0.08,0.38,0.42,101.0,139.0,0.46587,0.37273,0.00293,-0.01289,0.01109,0.40786,2/17/2017,11.83,0.05749486700000001,0.4048191576533534
641,5654,10-Mar-17,13.0,FEYE,Call,0.13,-0.06,0.13,0.16,7.0,89.0,0.20305,0.23262,0.00129,-0.00978,0.00785,0.43353,2/17/2017,11.83,0.05749486700000001,0.4316693794326508
642,5663,3-Mar-17,12.0,FEYE,Put,0.48,-0.33,0.46,0.5,141.0,67.0,-0.55642,0.44603,-0.0021,-0.01412,0.00905,0.43018,2/17/2017,11.83,0.038329911,0.42698967017466744
643,5681,19-Jan-18,13.0,FEYE,Put,3.03,0.18,2.85,3.05,4.0,5344.0,-0.45922,0.07354,-0.05183,-0.00303,0.04449,0.5581,2/17/2017,11.83,0.919917864,0.5625268083759859
644,5700,24-Feb-17,33.0,FSLR,Put,0.61,-0.31,0.56,0.67,86.0,1033.0,-0.29905,0.10495,-0.00175,-0.09732,0.01787,0.7148899999999999,2/17/2017,34.84,0.019164956,0.7155566359236794
