,FIPS,Lat,Long_,Confirmed,Deaths,Active,Combined_Key,Population
2004,54003,39.46704621,-78.02414609,99,0,99,"Berkeley, WV",119171
2005,26019,44.63899297,-86.01608482,0,0,0,"Benzie, MI",17766
2006,45009,33.21927586,-81.05659969,7,0,7,"Bamberg, SC",14066
2007,13005,31.55456473,-82.45936528,14,0,14,"Bacon, GA",11164
2008,16021,48.76684761,-116.4630179,0,0,0,"Boundary, ID",12245
2009,37003,35.922379600000006,-81.17751948,3,0,3,"Alexander, NC",37497
2010,48001,31.81534745,-95.65354823,6,0,6,"Anderson, TX",57735
2011,20003,38.21413251,-95.29272815,0,0,0,"Anderson, KS",7858
2012,51009,37.60308293,-79.14548696,10,0,10,"Amherst, VA",31605
2013,51007,37.34081025,-77.98584649,10,0,10,"Amelia, VA",13145
2014,6005,38.44583082,-120.65696,7,0,7,"Amador, CA",39752
2015,6003,38.59678594,-119.8223594,2,0,2,"Alpine, CA",1129
2016,26007,45.03477666,-83.62212411,1,0,1,"Alpena, MI",28405
2017,45005,32.98837386,-81.35321066,5,0,5,"Allendale, SC",8688
2018,21003,36.75197631,-86.19457544,2,0,2,"Allen, KY",21315
2019,51005,37.78636074,-80.00222498,4,0,4,"Alleghany, VA",14860
2020,37005,36.49360862,-81.12857041,2,0,2,"Alleghany, NC",11137
2021,26005,42.59147037,-85.89102866,25,0,25,"Allegan, MI",118081
2022,40003,36.73090616,-98.32408495,1,0,1,"Alfalfa, OK",5702
2023,28003,34.88084463,-88.57996173,7,0,7,"Alcorn, MS",36953
2024,8009,37.31940883,-102.5603223,10,0,10,"Baca, CO",3581
2025,26001,44.6846864,-83.59507875,1,0,1,"Alcona, MI",10405
2026,51003,38.02080697,-78.55481085,53,0,53,"Albemarle, VA",109330
2027,56001,41.65498705,-105.7235415,5,0,5,"Albany, WY",38880
2028,37001,36.0434701,-79.39976137,43,0,43,"Alamance, NC",169509
2029,12001,29.67866525,-82.35928158,194,0,194,"Alachua, FL",269043
2030,53001,46.98299757,-118.5601734,39,0,39,"Adams, WA",19983
2031,39001,38.84541072,-83.4718964,3,0,3,"Adams, OH",27698
2032,31001,40.52449420000001,-98.50117804,62,0,62,"Adams, NE",31363
2033,17001,39.98815591,-91.18786813,27,0,27,"Adams, IL",65435
2034,16003,44.89333571,-116.4545247,1,0,1,"Adams, ID",4294
2035,29001,40.19058551,-92.60078167,12,0,12,"Adair, MO",25343
2036,19001,41.33075609,-94.47105874,1,0,1,"Adair, IA",7152
2037,51001,37.76707161,-75.63234615,15,0,15,"Accomack, VA",32316
2038,29003,39.98492163,-94.80163024,1,0,1,"Andrew, MO",17712
2039,48003,32.30468633,-102.6376548,13,0,13,"Andrews, TX",18705
2040,48005,31.25457347,-94.60901487,17,0,17,"Angelina, TX",86715
2041,27003,45.27476015,-93.24604565,76,0,76,"Anoka, MN",356921
2042,48015,29.88548725,-96.27736949,12,0,12,"Austin, TX",30032
2043,46003,43.71757685,-98.56050467,1,0,1,"Aurora, SD",2751
2044,51015,38.16404586,-79.12461614,18,0,18,"Augusta, VA",75558
2045,19009,41.6844628,-94.90581859,1,0,1,"Audubon, IA",5496
2046,28007,33.08658803,-89.57838564,25,0,25,"Attala, MS",18174
2047,40005,34.37366573,-96.03802487,1,0,1,"Atoka, OK",13758
2048,13003,31.29633502,-82.87545866,2,0,2,"Atkinson, GA",8165
2049,29005,40.43238737,-95.42970639,2,0,2,"Atchison, MO",5143
2050,20005,39.53185661,-95.30870026,3,0,3,"Atchison, KS",16073
2051,48013,28.89333001,-98.52730485,9,0,9,"Atascosa, TX",51153
2052,53003,46.18894415,-117.2022851,6,0,6,"Asotin, WA",22582
2053,5003,33.19153461,-91.7698471,11,0,11,"Ashley, AR",19657
2054,55003,46.31956891,-90.67837132,2,0,2,"Ashland, WI",15562
2055,39005,40.84772277,-82.27280781,6,0,6,"Ashland, OH",53484
2056,37009,36.43296207,-81.49862729,4,0,4,"Ashe, NC",27203
2057,23003,46.65926321,-68.59841248,2,0,2,"Aroostook, ME",67055
2058,48011,34.96507426,-101.3574874,1,0,1,"Armstrong, TX",1887
2059,5001,34.29145151,-91.37277296,2,0,2,"Arkansas, AR",17486
2060,26011,44.0636262,-83.89277559,7,0,7,"Arenac, MI",14883
2061,8007,37.19474156,-107.0476867,6,0,6,"Archuleta, CO",14029
2062,48007,28.10556197,-96.9995047,2,0,2,"Aransas, TX",23510
2063,51011,37.37569884,-78.81340003,7,0,7,"Appomattox, VA",15911
2064,13001,31.74847232,-82.28909114,14,0,14,"Appling, GA",18386
2065,4001,35.39465006,-109.4892383,110,0,110,"Apache, AZ",71887
2066,26009,44.99690221,-85.15503082,9,0,9,"Antrim, MI",23324
2067,31003,42.17695516,-98.0666283,1,0,1,"Antelope, NE",6298
